股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.08,10.98,10.92,11.12,10.9,1095743.0,1210840000.0,2150.18,2150.14,4.99,0.47,0.56,63920800,45653400.0,2026-07-23,16:14:12
000002,万  科Ａ,3.17,3.19,3.16,3.17,3.1,1123959.0,352560000.0,378.2,308.03,-0.43,0.34,1.16,50227500,62168400.0,2026-07-23,16:14:12
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,5.73,0.78,0.0,0,0.0,2026-07-23,09:00:00
000006,深振业Ａ,6.14,5.92,5.9,6.16,5.86,221513.0,134680000.0,82.89,82.89,-942.57,1.54,1.64,12732300,9419000.0,2026-07-23,16:14:12
000007,全新好,9.27,9.04,9.09,9.37,8.91,63621.0,58330000.0,32.12,32.12,-1593.17,17.93,1.84,3540600,2821500.0,2026-07-23,16:14:15
000008,神州高铁,2.34,2.28,2.28,2.35,2.27,324396.0,75000000.0,63.56,63.56,-7.72,2.95,1.19,21050600,11389000.0,2026-07-23,16:14:18
000009,中国宝安,6.24,6.1,6.08,6.26,6.08,235639.0,145780000.0,160.94,160.74,309.95,1.6,0.91,14281300,9282500.0,2026-07-23,16:14:15
000010,*ST美丽,1.53,1.43,1.42,1.56,1.41,223053.0,33120000.0,17.59,13.36,-1035.97,5.98,2.55,14070300,8235000.0,2026-07-23,16:14:12
000011,深物业A,7.51,6.83,6.83,7.51,6.81,128049.0,95190000.0,44.76,39.54,2722.26,1.33,2.43,2937700,9867200.0,2026-07-23,16:14:12
000012,南  玻Ａ,3.81,3.73,3.74,3.82,3.72,229336.0,86480000.0,115.92,74.65,1039.13,0.89,1.17,13112200,9821300.0,2026-07-23,16:14:18
000014,沙河股份,8.9,8.59,8.6,8.93,8.52,74726.0,65480000.0,21.54,21.54,-14.14,1.56,3.09,4039700,3432900.0,2026-07-23,16:14:15
000016,*ST康佳A,2.46,2.47,2.44,2.5,2.41,166171.0,40770000.0,59.24,39.28,-0.46,-0.53,1.04,6355400,10261700.0,2026-07-23,16:14:15
000017,深中华A,5.68,5.16,5.12,5.68,5.11,104056.0,57380000.0,39.15,25.04,94.69,10.03,2.36,5731800,4673800.0,2026-07-23,16:14:15
000019,深粮控股,6.04,5.92,5.91,6.04,5.9,50281.0,30080000.0,69.61,25.14,32.1,1.42,1.21,3100000,1928100.0,2026-07-23,16:14:18
000020,深华发Ａ,9.96,9.6,9.55,10.06,9.55,31520.0,30910000.0,28.2,18.04,81.23,6.35,1.74,1766100,1385900.0,2026-07-23,16:14:21
000021,深科技,39.09,40.22,40.26,40.86,38.58,1331405.0,5261040000.0,615.42,615.34,51.33,4.73,8.46,58369600,74770900.0,2026-07-23,16:14:24
000025,特  力Ａ,14.05,13.64,13.65,14.17,13.58,54700.0,76140000.0,60.56,55.19,42.68,3.26,1.39,3403300,2066700.0,2026-07-23,16:14:18
000026,飞亚达,15.92,15.95,15.85,16.14,15.7,56479.0,89620000.0,64.6,58.04,60.32,1.93,1.55,2754900,2893000.0,2026-07-23,16:14:21
000027,深圳能源,6.56,6.48,6.44,6.57,6.4,330603.0,215020000.0,312.08,312.08,15.6,0.95,0.69,16807000,16253300.0,2026-07-23,16:14:21
000028,国药一致,20.6,20.61,20.46,20.76,20.38,24449.0,50260000.0,126.12,108.33,11.51,0.68,0.46,1181500,1263400.0,2026-07-23,16:14:24
000029,深深房Ａ,19.95,20.05,19.99,20.29,19.8,44810.0,89660000.0,201.83,177.89,854.91,5.64,0.5,2253400,2227600.0,2026-07-23,16:14:24
000030,富奥股份,4.21,4.15,4.15,4.23,4.13,91273.0,38260000.0,72.4,70.35,10.9,0.87,0.55,5389200,3738100.0,2026-07-23,16:14:27
000031,大悦城,2.14,2.11,2.1,2.15,2.07,265565.0,56100000.0,91.73,91.73,-3.96,0.9,0.62,15235900,11320600.0,2026-07-23,16:14:21
000032,深桑达Ａ,14.92,15.6,15.5,15.74,14.74,387625.0,584020000.0,181.3,162.53,-103.35,2.46,3.56,17869400,20893100.0,2026-07-23,16:14:27
000034,神州数码,27.8,27.41,27.0,28.17,26.84,1039005.0,2862250000.0,282.65,236.06,52.18,2.53,12.24,52003900,51896600.0,2026-07-23,16:14:30
000035,中国天楹,4.83,4.39,4.38,4.83,4.36,821554.0,381850000.0,115.34,111.72,39.85,1.07,3.55,44665700,37489700.0,2026-07-23,16:14:30
000036,华联控股,4.09,4.1,4.08,4.17,4.04,285544.0,116830000.0,57.42,57.38,63.48,1.12,2.04,13747600,14806700.0,2026-07-23,16:14:18
000037,深南电A,9.97,10.31,9.82,10.7,9.6,595541.0,595730000.0,60.1,33.79,32.42,3.6,17.57,25986700,33567400.0,2026-07-23,16:14:27
