股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.32,11.13,11.07,11.35,11.07,1543176.0,1738060000.0,2196.75,2196.71,5.1,0.47,0.8,101503100,52814500.0,2026-06-10,16:14:24
000002,万  科Ａ,3.15,3.12,3.1,3.15,3.08,1198192.0,373430000.0,375.82,306.08,-0.43,0.34,1.23,64438600,55380700.0,2026-06-10,16:14:27
000004,*ST国华,2.76,2.76,0.0,0.0,0.0,0.0,0.0,3.65,3.49,30.99,4.21,0.0,0,0.0,2026-06-10,16:14:24
000006,深振业Ａ,8.0,7.96,7.95,8.19,7.83,255530.0,205110000.0,108.0,108.0,-1228.1,2.01,1.89,12452300,13100600.0,2026-06-10,16:14:30
000007,全新好,13.84,13.13,13.2,14.44,12.94,192087.0,268090000.0,47.95,47.95,-2378.58,26.77,5.54,8658100,10550600.0,2026-06-10,16:14:24
000008,神州高铁,2.5,2.54,2.53,2.53,2.48,251902.0,63080000.0,67.91,67.91,-8.25,3.15,0.93,7380400,17809800.0,2026-06-10,16:14:27
000009,中国宝安,7.01,7.03,6.99,7.09,6.93,164384.0,114770000.0,180.8,180.58,348.19,1.8,0.64,8140000,8298400.0,2026-06-10,16:14:27
000010,*ST美丽,2.31,2.43,2.31,2.39,2.31,283265.0,65800000.0,26.56,20.05,-1564.11,9.02,3.26,11249900,17076600.0,2026-06-10,16:14:33
000011,深物业A,7.32,7.14,7.1,7.38,7.09,48969.0,35600000.0,43.63,38.54,2653.39,1.3,0.93,2521600,2375300.0,2026-06-10,16:14:30
000012,南  玻Ａ,4.23,4.4,4.35,4.36,4.15,575985.0,242840000.0,128.7,82.88,1153.68,0.99,2.94,23092500,34506000.0,2026-06-10,16:14:36
000014,沙河股份,10.32,10.36,10.26,10.33,10.1,45143.0,46070000.0,24.98,24.98,-16.4,1.81,1.87,2212800,2301500.0,2026-06-10,16:14:39
000016,*ST康佳A,2.94,3.08,3.04,3.05,2.93,400375.0,118320000.0,70.79,46.94,-0.55,-0.63,2.51,14624200,25413300.0,2026-06-10,16:14:42
000017,深中华A,5.05,5.12,5.12,5.14,4.99,69296.0,34890000.0,34.8,22.26,84.19,8.92,1.57,3072000,3857600.0,2026-06-10,16:14:30
000019,深粮控股,6.3,6.27,6.24,6.32,6.21,66052.0,41330000.0,72.61,26.22,33.49,1.44,1.59,3557400,3047900.0,2026-06-10,16:14:24
000020,深华发Ａ,11.77,11.99,11.92,11.96,11.6,29273.0,34390000.0,33.33,21.32,95.99,7.5,1.62,1241500,1685800.0,2026-06-10,16:14:45
000021,深科技,38.56,37.54,36.7,39.32,36.28,1447768.0,5488300000.0,607.08,606.99,50.63,4.54,9.2,71262700,73514100.0,2026-06-10,16:14:24
000025,特  力Ａ,15.64,14.22,14.11,15.64,13.76,149851.0,226800000.0,67.42,61.43,47.51,3.62,3.82,5161500,9823500.0,2026-06-10,16:14:27
000026,飞亚达,21.26,21.78,21.73,21.73,20.66,99707.0,210710000.0,86.27,77.51,80.56,2.58,2.73,5455700,4515000.0,2026-06-10,16:14:33
000027,深圳能源,7.16,7.27,7.19,7.37,7.11,488761.0,352690000.0,340.63,340.63,17.02,1.02,1.03,21176500,27699600.0,2026-06-10,16:14:48
000028,国药一致,22.66,22.24,22.2,22.66,22.01,22982.0,51280000.0,126.12,108.33,11.51,0.67,0.48,1372700,925500.0,2026-06-10,16:14:27
