股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.1,11.08,11.09,11.18,11.09,1140933.0,1269360000.0,2154.06,2154.02,5.0,0.47,0.59,47464800,66628500.0,2026-07-24,16:14:36
000002,万  科Ａ,3.07,3.17,3.14,3.17,3.07,1124051.0,349080000.0,366.27,298.31,-0.41,0.33,1.16,40448100,71956900.0,2026-07-24,16:14:36
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,5.73,0.78,0.0,0,0.0,2026-07-24,09:00:00
000006,深振业Ａ,6.05,6.14,6.04,6.15,5.98,148374.0,89940000.0,81.67,81.67,-928.75,1.52,1.1,6878500,7958900.0,2026-07-24,16:14:36
000007,全新好,9.34,9.27,9.31,9.49,8.99,81812.0,75920000.0,32.36,32.36,-1605.2,18.07,2.36,3862100,4319100.0,2026-07-24,16:14:36
000008,神州高铁,2.28,2.34,2.32,2.34,2.28,211184.0,48560000.0,61.93,61.93,-7.53,2.87,0.78,6576700,14541700.0,2026-07-24,16:14:39
000009,中国宝安,6.08,6.24,6.24,6.3,6.07,222488.0,136600000.0,156.82,156.62,302.0,1.56,0.86,8348900,13899900.0,2026-07-24,16:14:39
000010,*ST美丽,1.44,1.53,1.52,1.53,1.43,162671.0,23990000.0,16.55,12.57,-975.03,5.62,1.86,6717900,9549200.0,2026-07-24,16:14:39
000011,深物业A,8.26,7.51,7.9,8.26,7.74,250393.0,204300000.0,49.23,43.49,2994.12,1.47,4.76,15099600,9939700.0,2026-07-24,16:14:42
000012,南  玻Ａ,3.74,3.81,3.77,3.8,3.71,205265.0,76900000.0,113.79,73.28,1020.04,0.88,1.05,7843100,12683500.0,2026-07-24,16:14:45
000014,沙河股份,8.79,8.9,8.89,9.05,8.78,61804.0,54990000.0,21.28,21.28,-13.97,1.54,2.55,2410600,3769800.0,2026-07-24,16:14:39
000016,*ST康佳A,2.46,2.46,2.44,2.48,2.4,143479.0,34940000.0,59.24,39.28,-0.46,-0.53,0.9,7194100,7153800.0,2026-07-24,16:14:42
000017,深中华A,5.8,5.68,5.75,5.99,5.63,228836.0,133500000.0,39.97,25.57,96.69,10.24,5.19,11647500,11236100.0,2026-07-24,16:14:42
000019,深粮控股,5.87,6.04,6.0,6.06,5.87,50366.0,29900000.0,67.65,24.43,31.2,1.38,1.21,1653100,3383500.0,2026-07-24,16:14:48
000020,深华发Ａ,9.74,9.96,9.9,9.96,9.7,22883.0,22470000.0,27.58,17.65,79.43,6.21,1.26,1003000,1285300.0,2026-07-24,16:14:51
000021,深科技,41.99,39.09,38.5,42.8,38.29,2096957.0,8593150000.0,661.08,660.99,55.14,5.08,13.32,112585700,97110000.0,2026-07-24,16:14:54
000025,特  力Ａ,14.14,13.94,13.92,14.5,13.74,74897.0,105420000.0,60.95,55.54,42.95,3.36,1.91,3489400,4000400.0,2026-07-24,16:14:45
000026,飞亚达,15.93,15.92,15.78,16.13,15.55,47301.0,75210000.0,64.64,58.07,60.36,1.93,1.3,2252300,2477800.0,2026-07-24,16:14:57
