股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,10.78,10.94,10.97,10.99,10.75,965828.0,1046560000.0,2091.96,2091.92,4.86,0.46,0.5,34690700,61892100.0,2026-06-17,16:14:54
000002,万  科Ａ,3.09,3.07,3.07,3.14,3.02,1654197.0,510110000.0,368.66,300.25,-0.42,0.33,1.7,89822600,75597100.0,2026-06-17,16:14:54
000004,*ST国华,2.76,2.76,0.0,0.0,0.0,0.0,0.0,3.65,3.49,30.99,4.21,0.0,0,0.0,2026-06-17,16:14:54
000006,深振业Ａ,7.74,7.93,7.86,7.92,7.69,219717.0,170660000.0,104.49,104.49,-1188.19,1.95,1.63,8405600,13566100.0,2026-06-17,16:14:54
000007,全新好,13.64,14.34,14.26,14.3,13.29,128530.0,176020000.0,47.26,47.26,-2344.21,26.39,3.71,5832200,7020900.0,2026-06-17,16:14:57
000008,神州高铁,2.5,2.54,2.54,2.54,2.48,247776.0,62060000.0,67.91,67.91,-8.25,3.15,0.91,9457400,15320200.0,2026-06-17,16:14:54
000009,中国宝安,6.99,7.08,7.04,7.08,6.95,182634.0,127570000.0,180.29,180.06,347.2,1.8,0.71,7359700,10903700.0,2026-06-17,16:14:57
000010,*ST美丽,2.0,2.1,2.11,2.12,2.0,290793.0,58980000.0,22.99,17.46,-1354.21,7.81,3.33,10221800,18857500.0,2026-06-17,16:14:57
000011,深物业A,7.44,7.45,7.41,7.52,7.27,46641.0,34490000.0,44.34,39.17,2696.88,1.32,0.89,2317200,2346800.0,2026-06-17,16:15:00
000012,南  玻Ａ,4.63,4.52,4.55,4.75,4.42,1726157.0,798190000.0,140.87,90.72,1262.77,1.08,8.81,89030400,83585300.0,2026-06-17,16:14:57
000014,沙河股份,9.89,10.1,10.1,10.14,9.86,56307.0,55860000.0,23.94,23.94,-15.71,1.73,2.33,2466000,3164600.0,2026-06-17,16:14:57
000016,*ST康佳A,2.82,2.9,2.87,2.89,2.81,181265.0,51390000.0,67.9,45.02,-0.53,-0.6,1.14,5123500,13003000.0,2026-06-17,16:14:03
000017,深中华A,5.16,5.27,5.27,5.28,5.12,76101.0,39310000.0,35.56,22.75,86.02,9.11,1.73,3926800,3683300.0,2026-06-17,16:15:00
000019,深粮控股,6.22,6.36,6.36,6.38,6.2,83485.0,52070000.0,71.69,25.89,33.06,1.42,2.01,2985300,5363200.0,2026-06-17,16:15:00
000020,深华发Ａ,11.87,12.2,12.11,12.18,11.76,37471.0,44650000.0,33.61,21.5,96.81,7.56,2.07,1451400,2295700.0,2026-06-17,16:15:00
000021,深科技,42.91,40.77,39.85,42.96,39.85,1654931.0,6952080000.0,675.56,675.46,56.35,5.19,10.51,88136700,77356500.0,2026-06-17,16:14:06
000025,特  力Ａ,15.87,15.78,15.62,15.99,15.29,103215.0,161470000.0,68.41,62.33,48.2,3.68,2.63,5485800,4835700.0,2026-06-17,16:14:09
000026,飞亚达,21.32,20.76,20.98,21.83,20.68,135302.0,287950000.0,86.51,77.72,80.78,2.58,3.71,6771700,6758500.0,2026-06-17,16:14:03
000027,深圳能源,7.37,7.33,7.31,7.48,7.13,488611.0,358500000.0,350.62,350.62,17.52,1.05,1.03,24484400,24376800.0,2026-06-17,16:14:06
000028,国药一致,22.66,22.51,22.48,22.68,22.45,15296.0,34500000.0,126.12,108.33,11.51,0.67,0.32,781400,748200.0,2026-06-17,16:14:03
000029,深深房Ａ,28.57,27.62,27.96,28.8,27.09,135857.0,384390000.0,289.03,254.75,1224.29,8.08,1.52,6676400,6909300.0,2026-06-17,16:14:06
000030,富奥股份,4.29,4.38,4.35,4.37,4.26,111728.0,48140000.0,73.78,71.68,11.11,0.86,0.67,4675300,6497500.0,2026-06-17,16:14:09
000031,大悦城,2.37,2.39,2.39,2.4,2.33,381683.0,89980000.0,101.59,101.59,-4.39,0.99,0.89,16821000,21347300.0,2026-06-17,16:14:03
000032,深桑达Ａ,23.22,22.89,23.21,23.72,21.8,1604795.0,3648590000.0,282.16,252.95,-160.85,3.84,14.73,88639300,71840200.0,2026-06-17,16:14:12
000034,神州数码,26.69,26.47,26.38,26.95,26.01,533511.0,1414600000.0,271.37,226.64,50.1,2.43,6.28,27720000,25631200.0,2026-06-17,16:15:00
000035,中国天楹,5.1,5.11,5.11,5.23,5.02,354802.0,181380000.0,121.79,117.96,42.07,1.13,1.53,17472900,18007300.0,2026-06-17,16:14:09
000036,华联控股,5.14,5.15,5.16,5.17,5.04,269577.0,137460000.0,72.16,72.11,79.78,1.4,1.92,12153800,14803900.0,2026-06-17,16:14:12
000037,深南电A,11.52,11.69,11.49,11.68,11.0,425572.0,485110000.0,69.44,39.04,37.46,4.11,12.56,20417900,22139300.0,2026-06-17,16:14:03
000039,中集集团,9.09,9.16,9.15,9.38,9.01,394316.0,361180000.0,490.18,209.2,-429.92,1.05,1.71,17971700,21459900.0,2026-06-17,16:14:06
