股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,10.28,10.16,10.2,10.36,10.17,1004749.0,1030890000.0,1994.93,1994.9,4.63,0.44,0.52,52830200,47644700.0,2026-07-02,16:14:45
000002,万  科Ａ,3.06,3.08,3.07,3.15,3.04,1264081.0,389590000.0,365.08,297.34,-0.41,0.33,1.3,53007600,73400500.0,2026-07-02,16:14:45
000004,国华退,0.41,0.37,0.36,0.41,0.36,94991.0,3820000.0,0.54,0.52,4.6,0.63,7.52,5756000,3743100.0,2026-07-02,16:14:48
000006,深振业Ａ,7.35,7.53,7.52,7.58,7.31,158834.0,118300000.0,99.22,99.22,-1128.32,1.85,1.18,5934000,9949400.0,2026-07-02,16:14:45
000007,全新好,12.0,12.29,12.15,12.65,11.94,70735.0,86350000.0,41.57,41.57,-2062.36,23.21,2.04,3465800,3607700.0,2026-07-02,16:14:48
000008,神州高铁,2.38,2.39,2.41,2.47,2.38,410841.0,99470000.0,64.65,64.65,-7.86,3.0,1.51,18581100,22503000.0,2026-07-02,16:14:51
000009,中国宝安,6.27,6.27,6.32,6.34,6.24,245779.0,154620000.0,161.72,161.52,311.44,1.61,0.95,11578300,12999600.0,2026-07-02,16:14:51
000010,*ST美丽,1.88,1.79,1.81,1.88,1.78,290587.0,54100000.0,21.61,16.41,-1272.95,7.34,3.33,15833900,13224900.0,2026-07-02,16:14:48
000011,深物业A,6.5,6.62,6.61,6.72,6.5,39614.0,26120000.0,38.74,34.22,2356.15,1.15,0.75,1673900,2287400.0,2026-07-02,16:14:45
000012,南  玻Ａ,5.02,5.25,5.0,5.09,4.81,1294389.0,643220000.0,152.73,98.36,1369.14,1.17,6.61,56093600,73345300.0,2026-07-02,16:14:48
000014,沙河股份,9.34,9.31,9.31,9.59,9.27,55983.0,52800000.0,22.61,22.61,-14.84,1.64,2.31,2716200,2882100.0,2026-07-02,16:14:45
000016,*ST康佳A,2.54,2.42,2.54,2.54,2.46,229206.0,58040000.0,61.16,40.55,-0.48,-0.54,1.44,9695600,13225000.0,2026-07-02,16:14:54
000017,深中华A,6.0,6.08,6.08,6.34,5.96,204427.0,124740000.0,41.35,26.45,100.03,10.59,4.64,9551800,10890900.0,2026-07-02,16:14:48
000019,深粮控股,5.9,5.8,5.81,5.93,5.8,70424.0,41370000.0,68.0,24.56,31.36,1.38,1.69,3774400,3268000.0,2026-07-02,16:14:54
000020,深华发Ａ,11.08,11.17,11.22,11.57,11.03,57234.0,64450000.0,31.37,20.07,90.36,7.06,3.16,2771300,2952100.0,2026-07-02,16:14:51
000021,深科技,56.03,62.26,56.65,58.0,56.03,1761593.0,9940690000.0,882.12,882.0,73.58,6.78,11.19,92787500,83371800.0,2026-07-02,16:14:54
000025,特  力Ａ,13.75,13.75,13.6,14.07,13.54,39692.0,54910000.0,59.27,54.01,41.77,3.19,1.01,1724100,2245100.0,2026-07-02,16:14:51
000026,飞亚达,21.22,21.05,21.16,22.12,21.03,129478.0,280470000.0,86.1,77.36,80.4,2.57,3.55,6617500,6330300.0,2026-07-02,16:14:54
000027,深圳能源,6.2,6.26,6.23,6.3,6.16,356327.0,221790000.0,294.96,294.96,14.74,0.9,0.75,16178300,19454400.0,2026-07-02,16:14:57
000028,国药一致,19.75,19.25,19.27,19.92,19.2,36929.0,72380000.0,120.91,103.86,11.04,0.65,0.7,2393800,1299100.0,2026-07-02,16:14:57
000029,深深房Ａ,21.71,22.5,22.43,22.8,21.7,78779.0,174310000.0,219.63,193.58,930.33,6.14,0.88,3230600,4647200.0,2026-07-02,16:15:00
000030,富奥股份,3.97,3.96,3.96,4.02,3.95,89060.0,35500000.0,68.28,66.33,10.28,0.82,0.53,4275700,4630300.0,2026-07-02,16:14:57
000031,大悦城,2.15,2.18,2.19,2.23,2.11,417513.0,90250000.0,92.16,92.16,-3.98,0.9,0.97,18590300,23161000.0,2026-07-02,16:15:00
