股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.63,11.61,11.5,11.63,11.28,2024979.0,2318840000.0,2256.91,2256.87,5.24,0.49,1.04,98521100,103976800.0,2026-07-31,16:14:36
000002,万  科Ａ,3.34,3.33,3.29,3.36,3.28,1256027.0,418170000.0,398.49,324.55,-0.45,0.36,1.29,60398700,65203900.0,2026-07-31,16:14:36
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,5.73,0.78,0.0,0,0.0,2026-07-31,09:00:00
000006,深振业Ａ,6.52,6.37,6.35,6.68,6.34,240111.0,157350000.0,88.02,88.02,-1000.9,1.64,1.78,13267700,10743400.0,2026-07-31,16:14:36
000007,全新好,9.22,8.71,8.82,9.37,8.78,119722.0,109970000.0,31.94,31.94,-1584.58,17.84,3.46,7502600,4469600.0,2026-07-31,16:14:39
000008,神州高铁,2.37,2.35,2.36,2.38,2.35,189434.0,44870000.0,64.38,64.38,-7.82,2.98,0.7,9499500,9443900.0,2026-07-31,16:14:36
000009,中国宝安,7.87,7.15,6.97,7.87,6.9,1443185.0,1105250000.0,202.98,202.73,390.91,2.02,5.6,75287500,69030900.0,2026-07-31,16:14:39
000010,*ST美丽,1.58,1.51,1.53,1.64,1.51,255421.0,40020000.0,18.16,13.79,-1069.82,6.17,2.93,15688300,9853800.0,2026-07-31,16:14:42
000011,深物业A,7.94,7.99,7.92,8.1,7.77,178260.0,140920000.0,47.32,41.8,2878.13,1.41,3.39,7147500,10678400.0,2026-07-31,16:14:42
000012,南  玻Ａ,3.93,3.93,3.98,4.02,3.92,325433.0,129040000.0,119.57,77.0,1071.86,0.92,1.66,14250100,18293200.0,2026-07-31,16:14:45
000014,沙河股份,10.02,9.98,9.94,10.18,9.94,72542.0,72880000.0,24.25,24.25,-15.92,1.76,3.0,3265300,3988900.0,2026-07-31,16:14:39
000016,*ST康佳A,2.55,2.47,2.5,2.57,2.5,141075.0,35810000.0,61.4,40.71,-0.48,-0.55,0.88,8284700,5822800.0,2026-07-31,16:14:45
000017,深中华A,6.06,5.82,5.94,6.14,5.83,117167.0,70650000.0,41.76,26.71,101.03,10.7,2.66,6940700,4776100.0,2026-07-31,16:14:39
000019,深粮控股,6.12,6.08,6.0,6.13,6.0,54193.0,32890000.0,70.54,25.47,32.53,1.44,1.3,3105900,2313500.0,2026-07-31,16:14:48
000020,深华发Ａ,10.5,10.37,10.26,10.59,10.26,44684.0,46830000.0,29.73,19.02,85.63,6.69,2.47,2140400,2328000.0,2026-07-31,16:14:42
000021,深科技,37.23,36.42,39.5,39.51,37.21,1574029.0,6071400000.0,586.14,586.06,48.89,4.5,10.0,76973100,80429800.0,2026-07-31,16:14:45
000025,特  力Ａ,15.23,15.64,15.31,15.59,14.88,178682.0,271210000.0,65.65,59.82,46.26,3.62,4.55,8075300,9792900.0,2026-07-31,16:14:36
000026,飞亚达,16.37,16.2,16.5,16.73,16.3,66160.0,109140000.0,66.42,59.68,62.03,1.98,1.81,3330000,3286000.0,2026-07-31,16:14:51
000027,深圳能源,6.49,6.47,6.43,6.51,6.41,263935.0,170650000.0,308.75,308.75,15.43,0.94,0.55,13521900,12871600.0,2026-07-31,16:14:54
000028,国药一致,21.02,21.0,21.0,21.08,20.77,33601.0,70310000.0,128.69,110.54,11.75,0.69,0.64,1860900,1499200.0,2026-07-31,16:14:39
000029,深深房Ａ,20.24,19.5,19.65,20.55,19.5,72637.0,147270000.0,204.76,180.47,867.33,5.72,0.81,4365000,2898700.0,2026-07-31,16:14:48
000030,富奥股份,4.29,4.28,4.3,4.33,4.25,97999.0,42100000.0,73.78,71.68,11.11,0.89,0.59,4905200,4894700.0,2026-07-31,16:14:42
000031,大悦城,2.21,2.19,2.2,2.21,2.17,293708.0,64340000.0,94.73,94.73,-4.09,0.93,0.69,14552400,14818400.0,2026-07-31,16:14:45
000032,深桑达Ａ,13.54,12.31,13.13,13.54,12.92,634457.0,845910000.0,164.54,164.54,-93.8,2.24,5.22,28988200,34457500.0,2026-07-31,16:14:48
000034,神州数码,24.1,23.33,24.28,24.77,24.09,526985.0,1287200000.0,245.03,204.64,45.24,2.19,6.21,27347300,25351200.0,2026-07-31,16:14:57
000035,中国天楹,5.03,5.01,4.93,5.1,4.91,397141.0,199050000.0,120.12,116.35,41.5,1.12,1.72,19492200,20221900.0,2026-07-31,16:14:48
000036,华联控股,3.91,3.86,3.9,3.97,3.9,247589.0,97370000.0,54.89,54.86,60.69,1.07,1.76,12273900,12485000.0,2026-07-31,16:14:42
000037,深南电A,9.16,9.0,8.92,9.18,8.89,206319.0,188280000.0,55.21,31.04,29.79,3.3,6.09,11571100,9060800.0,2026-07-31,16:14:51
000039,中集集团,8.67,8.7,8.64,8.78,8.54,402714.0,347320000.0,467.53,199.53,-410.05,1.0,1.75,18145700,22125700.0,2026-07-31,16:15:00
000040,*ST旭蓝,0.49,0.49,0.0,0.0,0.0,0.0,0.0,7.29,5.17,-2.06,0.07,0.0,0,0.0,2026-07-31,09:00:00
000042,中洲控股,8.12,8.06,8.06,8.23,8.04,53377.0,43410000.0,53.98,53.93,-4.87,2.38,0.8,2524500,2813200.0,2026-07-31,16:14:54
000045,深纺织Ａ,9.62,9.52,9.53,9.71,9.53,91615.0,88220000.0,48.73,43.97,69.85,1.64,2.0,4544800,4616600.0,2026-07-31,16:14:03
000048,京基智农,18.81,17.1,17.65,18.81,17.6,176577.0,329790000.0,99.73,99.56,-52.4,2.66,3.34,3937200,13720400.0,2026-07-31,16:14:45
000049,德赛电池,24.4,24.34,24.2,24.64,24.16,80354.0,196870000.0,93.85,93.83,29.01,1.4,2.09,3823300,4212100.0,2026-07-31,16:14:06
000050,深天马Ａ,6.47,6.45,6.58,6.64,6.45,380650.0,247820000.0,157.59,157.59,-230.98,0.59,1.56,17439500,20625500.0,2026-07-31,16:14:51
000055,方大集团,3.41,3.34,3.35,3.42,3.34,77229.0,26200000.0,36.62,23.05,-7.04,0.66,1.14,4013400,3709500.0,2026-07-31,16:14:57
000056,*ST皇庭,1.91,1.83,1.88,1.91,1.85,151754.0,28540000.0,22.59,17.26,-0.84,-0.94,1.68,9271100,5904300.0,2026-07-31,16:15:00
000058,深 赛 格,6.65,6.6,6.52,6.71,6.51,91396.0,60770000.0,81.87,65.49,117.11,4.08,0.93,4913500,4226100.0,2026-07-31,16:14:54
000059,华锦股份,4.63,4.66,4.6,4.66,4.59,212134.0,97990000.0,74.05,74.05,-5.38,0.76,1.33,10695400,10518000.0,2026-07-31,16:14:48
000060,中金岭南,6.31,6.23,6.33,6.4,6.28,1094441.0,694640000.0,280.24,280.23,27.15,1.42,2.46,57810100,51634000.0,2026-07-31,16:14:51
000061,农 产 品,5.93,5.9,5.81,5.94,5.81,173529.0,102310000.0,117.71,106.4,27.19,1.38,0.97,9164300,8188600.0,2026-07-31,16:14:03
000062,深圳华强,21.78,20.76,21.66,22.16,21.53,300686.0,657040000.0,227.8,227.58,40.81,3.37,2.88,16883000,13185700.0,2026-07-31,16:14:06
000063,中兴通讯,33.81,33.3,34.48,34.61,33.8,1391571.0,4754840000.0,1617.31,1361.74,36.14,2.16,3.46,63009400,76147600.0,2026-07-31,16:14:09
000065,北方国际,9.3,9.24,9.25,9.35,9.22,119110.0,110860000.0,108.01,90.67,16.44,0.98,1.22,5531900,6379100.0,2026-07-31,16:14:12
000066,中国长城,13.74,13.15,13.71,13.95,13.6,1392732.0,1918130000.0,443.22,443.19,2197.03,4.05,4.32,80327800,58945400.0,2026-07-31,16:14:09
000068,华控赛格,2.76,2.7,2.73,2.77,2.71,115083.0,31670000.0,27.78,27.78,-26.38,4.75,1.14,6081700,5426600.0,2026-07-31,16:14:57
000069,华侨城Ａ,1.76,1.74,1.72,1.76,1.72,442679.0,77060000.0,141.46,121.42,-0.98,0.41,0.64,23935600,20332300.0,2026-07-31,16:14:15
000070,特发信息,12.68,12.18,12.8,13.08,12.68,505930.0,650850000.0,110.11,108.63,-22.47,13.65,5.91,27224900,23368100.0,2026-07-31,16:14:18
000078,ST海王,1.6,1.58,1.58,1.62,1.56,654523.0,104590000.0,42.1,42.0,-7.36,3.39,2.49,29417500,36034800.0,2026-07-31,16:14:54
000088,盐 田 港,4.48,4.47,4.44,4.49,4.4,276499.0,122920000.0,232.94,141.7,15.79,1.3,0.87,13669100,13980800.0,2026-07-31,16:14:51
000089,深圳机场,6.77,6.77,6.74,6.79,6.67,149916.0,100880000.0,138.84,138.84,22.38,1.2,0.73,8188000,6803600.0,2026-07-31,16:14:21
000090,天健集团,3.36,3.29,3.29,3.4,3.26,196844.0,65450000.0,62.78,62.78,39.29,0.56,1.05,11488900,8195500.0,2026-07-31,16:14:54
000096,广聚能源,7.73,7.63,7.59,7.73,7.54,55518.0,42610000.0,40.81,39.49,36.27,1.48,1.09,3059200,2492600.0,2026-07-31,16:14:57
000099,中信海直,14.46,14.39,14.36,14.52,14.31,89795.0,129620000.0,112.18,112.18,36.12,2.04,1.16,4706700,4272800.0,2026-07-31,16:14:24
000100,TCL科技,4.73,4.72,4.87,4.92,4.73,7160223.0,3450890000.0,983.88,951.44,19.44,1.62,3.56,277740300,438282000.0,2026-07-31,16:15:00
000151,中成股份,9.6,9.48,9.46,9.65,9.46,65001.0,62260000.0,33.69,29.56,8.51,3.85,2.11,3262600,3237500.0,2026-07-31,16:14:27
000153,丰原药业,5.46,5.39,5.4,5.46,5.37,73522.0,39870000.0,25.37,25.05,25.78,1.19,1.6,3531500,3820600.0,2026-07-31,16:15:00
000155,川能动力,12.26,12.26,11.98,12.4,11.9,470346.0,574860000.0,226.34,226.34,42.51,2.11,2.55,22768600,24265900.0,2026-07-31,16:14:12
000156,华数传媒,7.0,6.85,6.81,7.1,6.81,142615.0,99500000.0,129.71,118.99,30.69,0.87,0.84,8836200,5425400.0,2026-07-31,16:14:30
000157,中联重科,7.6,7.73,7.69,7.69,7.56,496007.0,377680000.0,657.29,537.29,15.17,1.16,0.7,24193700,25407000.0,2026-07-31,16:14:15
