股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.71,11.73,11.7,11.75,11.62,759457.0,887700000.0,2272.43,2272.41,5.23,0.49,0.39,32866300,43079400.0,2026-09-22,16:14:51
000002,万  科Ａ,3.81,3.65,3.57,3.89,3.54,8198321.0,3037860000.0,454.56,370.15,-0.5,0.44,8.44,451388200,368443900.0,2026-09-22,16:14:51
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,2.48,0.78,0.0,0,0.0,2026-09-22,09:00:00
000006,深振业Ａ,7.29,7.19,7.15,7.36,7.05,298562.0,215440000.0,98.41,98.41,-146.86,1.87,2.21,15751100,14105100.0,2026-09-22,16:14:51
000007,全新好,11.75,11.63,11.67,11.99,11.61,56662.0,66730000.0,40.71,40.71,-961.18,22.81,1.64,2677300,2988900.0,2026-09-22,16:14:54
000008,神州高铁,2.42,2.44,2.44,2.45,2.4,263214.0,63710000.0,65.74,65.73,-8.28,3.08,0.97,7993100,18328300.0,2026-09-22,16:14:57
000009,中国宝安,7.04,7.03,7.03,7.13,7.01,133766.0,94520000.0,181.58,181.35,-257.64,1.86,0.52,7045400,6331200.0,2026-09-22,16:14:51
000010,*ST美丽,1.57,1.6,1.6,1.6,1.55,142242.0,22290000.0,18.05,14.94,-615.62,7.21,1.5,4638300,9585900.0,2026-09-22,16:15:00
000011,深物业A,9.62,9.66,9.68,9.69,9.41,155697.0,148760000.0,57.33,50.65,-117.68,1.73,2.96,7223700,8346000.0,2026-09-22,16:14:03
000012,南  玻Ａ,3.76,3.78,3.78,3.8,3.74,217104.0,81860000.0,114.4,73.67,-30.92,0.9,1.11,8580100,13130300.0,2026-09-22,16:14:54
000014,沙河股份,10.87,10.97,10.94,11.02,10.65,65036.0,70590000.0,26.31,26.31,-16.31,1.91,2.69,3308700,3194900.0,2026-09-22,16:14:06
000016,*ST康佳A,2.46,2.46,0.0,0.0,0.0,0.0,0.0,59.24,39.28,-0.48,-0.53,0.0,0,0.0,2026-09-22,16:14:09
000017,深中华A,8.1,7.87,7.9,8.24,7.73,852165.0,681960000.0,55.82,35.71,168.44,14.17,19.33,46634700,38581700.0,2026-09-22,16:14:12
000019,深粮控股,6.98,7.2,7.13,7.16,6.94,249712.0,175260000.0,80.45,29.05,44.93,1.62,6.0,10141600,14829600.0,2026-09-22,16:14:57
000020,深华发Ａ,14.04,14.26,14.42,14.68,13.9,190160.0,268710000.0,39.76,25.44,134.73,8.88,10.5,8397500,10618500.0,2026-09-22,16:14:54
000021,深科技,37.01,37.22,37.84,37.95,36.79,790081.0,2958270000.0,586.53,586.46,47.79,4.4,4.99,34869200,44138900.0,2026-09-22,16:14:51
