股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,10.98,10.82,10.83,11.03,10.83,1003503.0,1102450000.0,2130.77,2130.73,4.95,0.46,0.52,56593900,43756400.0,2026-06-05,16:14:03
000002,万  科Ａ,3.25,3.21,3.25,3.37,3.23,1644371.0,540010000.0,387.75,315.8,-0.44,0.35,1.69,85974700,78462400.0,2026-06-05,16:14:03
000004,*ST国华,2.76,2.76,0.0,0.0,0.0,0.0,0.0,3.65,3.49,30.99,4.21,0.0,0,0.0,2026-06-05,16:14:03
000006,深振业Ａ,8.51,8.4,8.41,8.69,8.21,347372.0,294980000.0,114.88,114.88,-1306.39,2.14,2.57,17416500,17320700.0,2026-06-05,16:14:06
000007,全新好,12.31,12.45,12.43,12.55,12.13,84727.0,104520000.0,42.65,42.65,-2115.63,23.81,2.45,3677100,4795600.0,2026-06-05,16:14:03
000008,神州高铁,2.59,2.57,2.57,2.6,2.56,213548.0,55120000.0,70.35,70.35,-8.55,3.26,0.79,12875200,8479600.0,2026-06-05,16:14:09
000009,中国宝安,7.19,7.09,7.15,7.34,7.02,256012.0,183710000.0,185.45,185.22,357.13,1.85,0.99,13246300,12355000.0,2026-06-05,16:14:06
000010,*ST美丽,2.26,2.15,2.1,2.26,2.1,227961.0,50640000.0,25.98,19.62,-1530.25,8.83,2.63,13834100,8962000.0,2026-06-05,16:14:12
000011,深物业A,7.58,7.22,7.19,7.6,7.19,63618.0,47080000.0,45.18,39.91,2747.63,1.34,1.21,3508900,2852900.0,2026-06-05,16:14:03
000012,南  玻Ａ,4.38,4.2,4.16,4.54,4.07,1282677.0,558340000.0,133.26,85.82,1194.59,1.02,6.55,70666500,57601300.0,2026-06-05,16:14:09
000014,沙河股份,10.67,10.47,10.46,10.8,10.4,56923.0,60470000.0,25.83,25.83,-16.95,1.87,2.35,3122600,2569700.0,2026-06-05,16:14:06
000016,*ST康佳A,3.18,3.21,3.2,3.24,3.17,206801.0,66170000.0,76.57,50.77,-0.6,-0.68,1.3,8185700,12494400.0,2026-06-05,16:14:15
000017,深中华A,5.32,5.25,5.24,5.41,5.21,92131.0,49090000.0,36.66,23.45,88.69,9.39,2.09,4505700,4707400.0,2026-06-05,16:14:06
000019,深粮控股,6.42,6.38,6.37,6.46,6.36,80900.0,51930000.0,73.99,26.72,34.12,1.46,1.94,3716800,4373200.0,2026-06-05,16:14:09
000020,深华发Ａ,12.46,12.35,12.38,12.61,12.0,39953.0,49300000.0,35.28,22.57,101.62,7.94,2.21,2240400,1754900.0,2026-06-05,16:14:09
000021,深科技,38.13,39.68,38.68,39.3,37.68,1362653.0,5246080000.0,600.31,600.22,50.07,4.49,8.66,57961600,78303800.0,2026-06-05,16:14:06
000025,特  力Ａ,15.28,15.24,14.95,15.75,14.95,83371.0,128540000.0,65.87,60.02,46.41,3.54,2.12,4252600,4084500.0,2026-06-05,16:14:18
000026,飞亚达,22.56,21.56,21.36,23.25,21.01,199884.0,443440000.0,91.54,82.24,85.48,2.69,5.48,11418100,8570300.0,2026-06-05,16:14:09
000027,深圳能源,7.29,7.79,7.77,7.93,7.25,942947.0,706930000.0,346.81,346.81,17.33,1.04,1.98,37129500,57165200.0,2026-06-05,16:14:12
000028,国药一致,22.79,22.7,22.64,22.92,22.64,17191.0,39230000.0,126.84,108.95,11.58,0.67,0.36,1033700,685300.0,2026-06-05,16:14:15
000029,深深房Ａ,23.09,23.44,23.3,23.58,22.91,50542.0,117330000.0,233.59,205.88,989.46,6.46,0.57,2200100,2854100.0,2026-06-05,16:14:12
000030,富奥股份,4.52,4.51,4.5,4.58,4.49,74094.0,33540000.0,77.74,75.52,11.71,0.91,0.44,3599400,3810000.0,2026-06-05,16:14:21
000031,大悦城,2.65,2.56,2.53,2.82,2.53,1087542.0,292050000.0,113.59,113.59,-4.91,1.11,2.54,43972800,64781300.0,2026-06-05,16:14:18
