股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.0,10.98,10.98,11.03,10.93,648067.0,711760000.0,2134.65,2134.62,5.01,0.47,0.33,24342500,40464100.0,2026-04-23,16:14:36
000002,万  科Ａ,3.81,3.88,3.87,3.88,3.81,1060385.0,406560000.0,454.56,370.22,-0.51,0.39,1.09,40311600,65726900.0,2026-04-23,16:14:36
000004,*ST国华,3.06,3.22,3.06,3.06,3.06,8862.0,2710000.0,4.05,3.86,-3.3,10.96,0.7,886200,0.0,2026-04-23,16:14:39
000006,深振业Ａ,9.72,9.76,9.72,10.04,9.66,334089.0,327770000.0,131.22,131.22,-310.52,2.45,2.47,16833400,16575500.0,2026-04-23,16:14:36
000007,全新好,13.68,13.84,13.83,13.9,13.55,38963.0,53340000.0,47.39,47.39,83.64,25.94,1.12,1692700,2203600.0,2026-04-23,16:14:39
000008,神州高铁,2.67,2.7,2.69,2.71,2.66,495359.0,132840000.0,72.53,72.53,-8.68,3.32,1.82,14385300,35150600.0,2026-04-23,16:14:42
000009,中国宝安,8.88,8.97,8.96,8.97,8.76,261978.0,231860000.0,229.03,228.75,324.97,2.27,1.02,10675600,15522100.0,2026-04-23,16:14:36
000010,美丽生态,3.7,3.73,3.72,3.74,3.55,355413.0,129120000.0,42.54,32.12,94.22,13.03,4.09,14352700,21188600.0,2026-04-23,16:14:39
000011,深物业A,8.41,8.42,8.42,8.49,8.35,39385.0,33170000.0,50.12,44.28,147.92,1.48,0.75,2108700,1829800.0,2026-04-23,16:14:39
000012,南  玻Ａ,4.47,4.51,4.51,4.52,4.43,169229.0,75650000.0,136.0,87.58,-36.83,1.03,0.86,6871400,10051500.0,2026-04-23,16:14:42
000014,沙河股份,13.13,13.29,13.32,13.32,13.08,52846.0,69560000.0,31.78,31.78,-21.14,2.16,2.18,2256400,3028200.0,2026-04-23,16:14:45
000016,深康佳Ａ,3.22,3.39,3.37,3.38,3.19,499775.0,163990000.0,77.54,51.41,-2.9,6.13,3.13,19183800,30793700.0,2026-04-23,16:14:45
