股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.72,11.65,11.64,11.77,11.62,908857.0,1063280000.0,2274.37,2274.35,5.23,0.49,0.47,49980000,40905700.0,2026-08-31,16:14:57
000002,万  科Ａ,3.14,3.16,3.34,3.39,3.14,3532500.0,1148090000.0,374.62,305.05,-0.41,0.37,3.64,180996900,172253100.0,2026-08-31,16:14:57
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,2.48,0.78,0.0,0,0.0,2026-08-31,09:00:00
000006,深振业Ａ,7.18,7.48,7.52,7.8,7.12,456191.0,335550000.0,96.93,96.93,-144.64,1.84,3.38,19189100,26430000.0,2026-08-31,16:14:57
000007,全新好,12.86,12.6,12.61,12.95,12.5,95018.0,121040000.0,44.55,44.55,-1051.99,24.96,2.74,5047500,4454300.0,2026-08-31,16:15:00
000008,神州高铁,2.53,2.52,2.51,2.54,2.49,352303.0,88550000.0,68.72,68.72,-8.66,3.22,1.3,19023600,16206700.0,2026-08-31,16:14:03
000009,中国宝安,7.07,7.26,7.19,7.24,7.02,195960.0,138720000.0,182.35,182.12,-258.73,1.87,0.76,7806800,11789200.0,2026-08-31,16:15:00
000010,*ST美丽,1.68,1.6,1.59,1.69,1.58,345264.0,56890000.0,19.31,15.42,-658.75,7.72,3.76,20697900,13828500.0,2026-08-31,16:14:57
000011,深物业A,10.07,9.15,10.07,10.07,10.07,114842.0,115650000.0,60.02,53.02,-123.19,1.81,2.18,0,11484200.0,2026-08-31,16:14:03
000012,南  玻Ａ,3.73,3.79,3.78,3.82,3.73,193286.0,72520000.0,113.48,73.08,-30.67,0.9,0.99,7134300,12194300.0,2026-08-31,16:14:06
000014,沙河股份,10.84,11.45,11.68,11.97,10.8,203929.0,228160000.0,26.24,26.24,-16.26,1.9,8.43,9050800,11342100.0,2026-08-31,16:14:57
000016,*ST康佳A,2.46,2.45,2.45,2.46,2.44,1673500.0,410220000.0,59.24,39.28,-0.48,-0.53,10.48,68537900,98812100.0,2026-08-31,16:14:09
000017,深中华A,11.21,11.45,11.47,11.84,10.81,1197576.0,1338850000.0,77.26,49.42,233.12,19.6,27.17,60530600,59227000.0,2026-08-31,16:15:00
000019,深粮控股,7.2,7.32,7.32,7.5,7.17,366942.0,267360000.0,82.98,29.97,46.34,1.67,8.82,16411600,20282600.0,2026-08-31,16:15:00
000020,深华发Ａ,12.68,13.08,12.99,13.48,12.65,135273.0,174460000.0,35.9,22.97,121.68,8.02,7.47,5922500,7604800.0,2026-08-31,16:14:06
000021,深科技,37.74,37.17,36.28,37.75,36.27,640462.0,2373270000.0,598.1,598.02,48.73,4.49,4.04,30574900,33471300.0,2026-08-31,16:14:03
000025,特  力Ａ,15.8,17.06,16.64,16.65,15.61,212595.0,338380000.0,68.11,62.06,47.45,3.65,5.41,8684200,12575300.0,2026-08-31,16:14:03
000026,飞亚达,20.31,20.07,19.71,20.35,19.64,78493.0,157060000.0,82.41,74.02,78.21,2.44,2.15,4294000,3555300.0,2026-08-31,16:14:06
