股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.61,11.28,11.28,11.62,11.18,2777708.0,3194070000.0,2253.03,2252.99,5.23,0.49,1.43,170412200,107358600.0,2026-07-30,16:15:00
000002,万  科Ａ,3.33,3.28,3.26,3.4,3.26,2118666.0,708740000.0,397.29,323.57,-0.45,0.36,2.18,113390500,98476100.0,2026-07-30,16:15:00
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,5.73,0.78,0.0,0,0.0,2026-07-30,09:00:00
000006,深振业Ａ,6.37,6.51,6.45,6.61,6.34,222568.0,143910000.0,85.99,85.99,-977.88,1.6,1.65,10243200,12013600.0,2026-07-30,16:15:00
000007,全新好,8.71,9.16,9.16,9.19,8.67,75239.0,67020000.0,30.18,30.18,-1496.93,16.85,2.17,2417500,5106400.0,2026-07-30,16:15:00
000008,神州高铁,2.35,2.37,2.36,2.39,2.33,282883.0,66800000.0,63.83,63.83,-7.76,2.96,1.04,11675200,16613100.0,2026-07-30,16:14:03
000009,中国宝安,7.15,6.5,6.46,7.15,6.45,562050.0,390360000.0,184.41,184.19,355.15,1.84,2.18,26650400,29554600.0,2026-07-30,16:15:00
000010,*ST美丽,1.51,1.52,1.53,1.57,1.49,190836.0,29120000.0,17.36,13.18,-1022.43,5.9,2.19,8238500,10845100.0,2026-07-30,16:14:06
000011,深物业A,7.99,7.82,7.79,8.35,7.58,327880.0,262750000.0,47.62,42.07,2896.25,1.42,6.23,17399200,15388800.0,2026-07-30,16:14:03
000012,南  玻Ａ,3.93,3.9,3.89,3.97,3.88,274754.0,107930000.0,119.57,77.0,1071.86,0.92,1.4,14024900,13450500.0,2026-07-30,16:14:06
000014,沙河股份,9.98,9.99,10.0,10.5,9.92,127346.0,129690000.0,24.16,24.16,-15.86,1.75,5.26,6583400,6151200.0,2026-07-30,16:14:03
000016,*ST康佳A,2.47,2.55,2.54,2.59,2.47,189861.0,47830000.0,59.48,39.44,-0.46,-0.53,1.19,5998400,12987800.0,2026-07-30,16:14:03
000017,深中华A,5.82,5.99,5.99,6.08,5.81,100749.0,60000000.0,40.11,25.66,97.03,10.28,2.29,4718300,5356500.0,2026-07-30,16:14:09
000019,深粮控股,6.08,6.04,6.02,6.16,6.02,68159.0,41560000.0,70.07,25.31,32.32,1.43,1.64,3395900,3420000.0,2026-07-30,16:14:09
000020,深华发Ａ,10.37,10.36,10.28,10.75,10.23,53477.0,56060000.0,29.36,18.79,84.57,6.61,2.95,2610300,2737300.0,2026-07-30,16:14:03
000021,深科技,36.42,40.15,38.65,39.58,36.27,1592658.0,5981220000.0,573.39,573.31,47.82,4.41,10.12,69185700,90080100.0,2026-07-30,16:14:06
000025,特  力Ａ,15.64,14.22,14.23,15.64,14.13,146365.0,223170000.0,67.42,61.43,47.51,3.72,3.73,5228500,9408000.0,2026-07-30,16:14:06
000026,飞亚达,16.2,16.1,15.99,17.27,15.95,104043.0,171950000.0,65.73,59.06,61.38,1.96,2.85,4644500,5759800.0,2026-07-30,16:14:09
000027,深圳能源,6.47,6.43,6.41,6.49,6.35,275666.0,177150000.0,307.8,307.8,15.38,0.94,0.58,12876700,14689900.0,2026-07-30,16:14:12
000028,国药一致,21.0,20.77,20.69,21.06,20.67,29511.0,61740000.0,128.57,110.43,11.74,0.69,0.56,1777100,1173900.0,2026-07-30,16:14:12
000029,深深房Ａ,19.5,20.13,20.02,20.26,19.26,66426.0,131340000.0,197.27,173.87,835.62,5.51,0.74,3245600,3397000.0,2026-07-30,16:14:09
000030,富奥股份,4.28,4.24,4.24,4.32,4.23,122870.0,52550000.0,73.61,71.51,11.09,0.89,0.74,6994800,5292200.0,2026-07-30,16:14:12
000031,大悦城,2.19,2.19,2.18,2.25,2.16,299550.0,66040000.0,93.87,93.87,-4.06,0.92,0.7,13184900,16770100.0,2026-07-30,16:14:15
000032,深桑达Ａ,12.31,13.57,13.5,13.7,12.22,880648.0,1124050000.0,149.59,149.59,-85.27,2.03,7.25,38535400,49529500.0,2026-07-30,16:14:12
000034,神州数码,23.33,25.32,25.5,25.55,23.32,529866.0,1274800000.0,237.21,198.11,43.79,2.12,6.24,18792900,34193700.0,2026-07-30,16:14:18
000035,中国天楹,5.01,4.98,4.99,5.11,4.94,546552.0,274720000.0,119.64,115.88,41.33,1.11,2.36,28818500,25836800.0,2026-07-30,16:14:21
000036,华联控股,3.86,4.01,3.96,4.03,3.82,320595.0,125440000.0,54.19,54.16,59.91,1.05,2.29,12595200,19464300.0,2026-07-30,16:14:15
000037,深南电A,9.0,9.27,9.1,9.29,8.84,230962.0,208860000.0,54.25,30.5,29.27,3.25,6.81,8754600,14341600.0,2026-07-30,16:14:24
000039,中集集团,8.7,8.7,8.65,8.91,8.59,449910.0,393810000.0,469.15,200.22,-411.47,1.0,1.95,22959500,22031400.0,2026-07-30,16:14:15
000040,*ST旭蓝,0.49,0.49,0.0,0.0,0.0,0.0,0.0,7.29,5.17,-2.06,0.07,0.0,0,0.0,2026-07-30,09:00:00
000042,中洲控股,8.06,8.08,8.11,8.25,8.02,53553.0,43500000.0,53.59,53.53,-4.84,2.36,0.81,2289400,3065900.0,2026-07-30,16:14:06
