股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.25,11.44,11.41,11.5,11.18,1511510.0,1703940000.0,2183.17,2183.13,5.07,0.48,0.78,51345800,99805200.0,2026-08-05,16:14:39
000002,万  科Ａ,3.28,3.26,3.25,3.28,3.24,1002437.0,326830000.0,391.33,318.72,-0.44,0.35,1.03,47662300,52581400.0,2026-08-05,16:14:42
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,5.73,0.78,0.0,0,0.0,2026-08-05,09:00:00
000006,深振业Ａ,6.79,6.7,6.67,6.8,6.66,161646.0,109010000.0,91.66,91.66,-1042.35,1.71,1.2,7652400,8512200.0,2026-08-05,16:14:39
000007,全新好,9.55,9.28,9.28,9.78,9.28,107024.0,102050000.0,33.09,33.09,-1641.29,18.47,3.09,6371800,4330600.0,2026-08-05,16:14:42
000008,神州高铁,2.42,2.44,2.44,2.45,2.41,287508.0,69790000.0,65.74,65.73,-7.99,3.05,1.06,11398200,17352600.0,2026-08-05,16:14:39
000009,中国宝安,7.64,7.91,7.85,7.9,7.6,686040.0,527020000.0,197.05,196.81,379.49,1.96,2.66,26609600,41994300.0,2026-08-05,16:14:39
000010,*ST美丽,1.57,1.61,1.61,1.64,1.54,391782.0,61780000.0,18.05,14.41,-1063.05,6.13,4.27,11696800,27481300.0,2026-08-05,16:14:45
000011,深物业A,8.13,8.0,7.99,8.2,7.97,102750.0,83060000.0,48.45,42.8,2947.0,1.44,1.95,5253300,5021700.0,2026-08-05,16:14:48
000012,南  玻Ａ,3.96,3.95,3.92,3.97,3.9,282397.0,111040000.0,120.48,77.59,1080.04,0.93,1.44,12257800,15981800.0,2026-08-05,16:14:42
000014,沙河股份,10.13,10.1,10.08,10.19,10.01,56201.0,56740000.0,24.52,24.52,-16.1,1.78,2.32,2896900,2723200.0,2026-08-05,16:14:45
000016,*ST康佳A,2.62,2.58,2.57,2.66,2.57,190678.0,49800000.0,63.09,41.83,-0.49,-0.56,1.19,9844400,9223400.0,2026-08-05,16:14:39
000017,深中华A,6.2,6.07,6.07,6.27,6.02,95048.0,58520000.0,42.73,27.33,103.36,10.95,2.16,5298900,4205800.0,2026-08-05,16:14:51
000019,深粮控股,6.09,6.11,6.12,6.12,6.05,51157.0,31080000.0,70.19,25.35,32.37,1.43,1.23,2312900,2802800.0,2026-08-05,16:14:42
000020,深华发Ａ,10.92,10.85,10.85,10.98,10.81,36679.0,39940000.0,30.92,19.78,89.06,6.96,2.02,1722600,1945300.0,2026-08-05,16:14:42
000021,深科技,38.7,36.54,36.58,39.31,36.37,1620705.0,6181920000.0,609.28,609.2,50.82,4.68,10.3,88136700,73933700.0,2026-08-05,16:14:48
000025,特  力Ａ,15.28,15.54,15.41,15.45,15.08,91192.0,139060000.0,65.87,60.02,46.41,3.63,2.32,3827500,5291700.0,2026-08-05,16:14:45
000026,飞亚达,17.08,16.34,16.13,17.16,16.05,135619.0,226790000.0,69.3,62.27,64.72,2.07,3.72,7038100,6523700.0,2026-08-05,16:14:54
000027,深圳能源,6.44,6.52,6.53,6.53,6.42,251613.0,162320000.0,306.38,306.38,15.31,0.94,0.53,9677400,15483900.0,2026-08-05,16:14:51
