股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.73,11.7,11.7,11.73,11.6,817555.0,954180000.0,2276.31,2276.29,5.24,0.49,0.42,41605300,40150300.0,2026-09-21,16:14:57
000002,万  科Ａ,3.65,3.32,3.3,3.65,3.27,8344266.0,2931910000.0,435.47,354.6,-0.48,0.43,8.59,431167800,403258800.0,2026-09-21,16:14:57
000004,国华退,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.68,0.64,2.48,0.78,0.0,0,0.0,2026-09-21,09:00:00
000006,深振业Ａ,7.19,7.06,6.97,7.2,6.93,228848.0,162510000.0,97.06,97.06,-144.85,1.84,1.7,13143600,9741200.0,2026-09-21,16:15:00
000007,全新好,11.63,11.33,11.43,11.78,11.28,55500.0,64260000.0,40.29,40.29,-951.37,22.57,1.6,3187300,2362700.0,2026-09-21,16:14:57
000008,神州高铁,2.44,2.4,2.41,2.46,2.39,297916.0,72540000.0,66.28,66.28,-8.35,3.11,1.1,18599500,11192100.0,2026-09-21,16:14:57
000009,中国宝安,7.03,7.0,7.0,7.04,6.94,126182.0,88200000.0,181.32,181.09,-257.27,1.86,0.49,6821100,5797200.0,2026-09-21,16:15:00
000010,*ST美丽,1.6,1.58,1.57,1.64,1.57,114754.0,18400000.0,18.39,15.22,-627.38,7.35,1.21,4879900,6595500.0,2026-09-21,16:14:57
000011,深物业A,9.66,9.14,9.08,9.8,9.08,220933.0,209630000.0,57.57,50.86,-118.17,1.74,4.2,11564700,10528600.0,2026-09-21,16:15:00
000012,南  玻Ａ,3.78,3.72,3.73,3.8,3.71,237669.0,89620000.0,115.01,74.06,-31.08,0.91,1.21,14599800,9167200.0,2026-09-21,16:15:00
000014,沙河股份,10.97,10.45,10.43,11.06,10.2,97465.0,104150000.0,26.55,26.55,-16.46,1.93,4.03,5477900,4268600.0,2026-09-21,16:14:57
000016,*ST康佳A,2.46,2.46,0.0,0.0,0.0,0.0,0.0,59.24,39.28,-0.48,-0.53,0.0,0,0.0,2026-09-21,16:14:03
000017,深中华A,7.87,7.51,7.58,8.04,7.55,722499.0,563630000.0,54.24,34.69,163.66,13.76,16.39,41088800,31161100.0,2026-09-21,16:14:06
000019,深粮控股,7.2,7.15,7.1,7.22,7.0,248429.0,177210000.0,82.98,29.97,46.34,1.67,5.97,13002600,11840300.0,2026-09-21,16:14:03
000020,深华发Ａ,14.26,12.96,12.99,14.26,12.9,134315.0,184250000.0,40.38,25.83,136.85,9.02,7.41,7244800,6186700.0,2026-09-21,16:14:03
000021,深科技,37.22,36.95,37.33,37.6,36.71,824149.0,3060500000.0,589.86,589.78,48.06,4.43,5.2,38650900,43764000.0,2026-09-21,16:14:06
