股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,11.38,11.0,11.33,11.57,11.29,3401276.0,3891710000.0,2208.39,2208.36,5.13,0.48,1.75,157583300,171160400.0,2026-04-27,16:14:09
000002,万  科Ａ,3.73,3.75,3.76,3.76,3.7,799302.0,297470000.0,445.02,362.44,-0.5,0.38,0.82,36493700,43436500.0,2026-04-27,16:14:09
000004,*ST国华,2.76,2.91,2.76,2.76,2.76,25142.0,6940000.0,3.65,3.49,-2.98,9.89,1.99,2513000,1200.0,2026-04-27,16:14:09
000006,深振业Ａ,9.35,9.88,9.76,9.78,9.14,363388.0,340640000.0,126.22,126.22,-298.7,2.35,2.69,16090200,20248600.0,2026-04-27,16:14:12
000007,全新好,13.97,13.85,13.85,14.15,13.62,50208.0,69830000.0,48.4,48.4,85.41,26.49,1.45,2557600,2463200.0,2026-04-27,16:14:12
000008,神州高铁,2.66,2.66,2.66,2.66,2.62,344240.0,90940000.0,72.26,72.25,-8.65,3.3,1.27,17206000,17218000.0,2026-04-27,16:14:09
000009,中国宝安,8.86,8.9,8.86,8.95,8.79,220444.0,194950000.0,228.52,228.24,112.55,2.28,0.86,10514200,11327900.0,2026-04-27,16:14:09
000010,美丽生态,3.38,3.62,3.58,3.58,3.35,578917.0,197650000.0,38.86,29.34,86.07,11.9,6.67,23717500,34174200.0,2026-04-27,16:14:15
000011,深物业A,8.47,8.44,8.42,8.48,8.19,64199.0,53410000.0,50.48,44.59,148.97,1.49,1.22,2854100,3526000.0,2026-04-27,16:14:12
000012,南  玻Ａ,4.44,4.45,4.43,4.47,4.42,135817.0,60360000.0,135.09,86.99,-36.58,1.02,0.69,6582800,6999000.0,2026-04-27,16:14:12
000014,沙河股份,13.21,13.12,13.1,13.3,12.67,62515.0,81240000.0,31.97,31.97,-21.27,2.17,2.58,3193900,3057600.0,2026-04-27,16:14:18
000016,深康佳Ａ,3.4,3.19,3.18,3.44,3.13,637087.0,212090000.0,81.87,54.28,-3.07,6.47,3.99,41053700,22655000.0,2026-04-27,16:14:15
000017,深中华A,6.39,6.35,6.32,6.39,6.15,81296.0,51050000.0,44.04,28.17,107.07,11.46,1.84,4585400,3544200.0,2026-04-27,16:14:15
000019,深粮控股,7.94,8.0,8.02,8.08,7.88,180807.0,143840000.0,91.51,33.05,28.19,1.83,4.34,7405600,10675100.0,2026-04-27,16:14:18
000020,深华发Ａ,15.84,15.33,15.34,15.87,15.03,82136.0,127710000.0,44.85,28.7,129.18,10.1,4.53,4533500,3680100.0,2026-04-27,16:14:18
000021,深科技,29.29,28.85,29.32,29.6,29.0,728591.0,2136160000.0,460.35,460.27,44.93,3.61,4.64,36606000,34918100.0,2026-04-27,16:14:15
000025,特  力Ａ,16.07,15.63,15.7,16.22,15.47,61642.0,98070000.0,69.27,63.12,48.49,3.79,1.57,3526000,2638200.0,2026-04-27,16:14:21
000026,飞亚达,18.2,18.41,18.4,18.96,17.9,207286.0,377760000.0,73.85,66.35,68.96,2.17,5.69,9395800,11332700.0,2026-04-27,16:14:24
000027,深圳能源,6.94,6.93,6.96,7.02,6.86,356374.0,247870000.0,330.16,330.16,15.7,1.01,0.75,16142000,19495400.0,2026-04-27,16:14:27
000028,国药一致,24.55,24.79,24.8,24.8,24.53,41300.0,101650000.0,136.64,117.36,12.47,0.72,0.86,1475300,2633800.0,2026-04-27,16:14:18
000029,深深房Ａ,20.74,20.17,20.25,20.88,20.08,48631.0,99690000.0,209.82,184.93,209.91,5.81,0.55,2927200,1912900.0,2026-04-27,16:14:12
000030,富奥股份,5.15,5.12,5.12,5.19,5.12,151700.0,78110000.0,88.57,86.05,13.34,1.04,0.91,7291600,7878500.0,2026-04-27,16:14:21
000031,大悦城,2.9,2.89,2.9,2.92,2.83,247962.0,71370000.0,124.3,124.3,-5.29,1.21,0.58,11950000,12361000.0,2026-04-27,16:14:21
000032,深桑达Ａ,17.98,17.92,17.76,18.2,17.5,169371.0,303070000.0,218.49,195.87,138.71,2.99,1.55,8448800,8488300.0,2026-04-27,16:14:30
000034,神州数码,36.85,37.53,38.0,38.0,35.87,299482.0,1109590000.0,267.16,223.43,49.32,2.38,4.94,13756700,15534700.0,2026-04-27,16:14:24
000035,中国天楹,6.78,6.85,6.85,6.9,6.71,394229.0,266860000.0,161.91,156.82,70.44,1.58,1.7,17469700,21953200.0,2026-04-27,16:14:33
000036,华联控股,5.26,5.18,5.18,5.27,5.06,429351.0,222960000.0,73.84,73.7,190.61,1.45,3.06,22146400,19749700.0,2026-04-27,16:14:15
000037,深南电A,11.02,10.78,10.7,11.1,10.44,333940.0,364600000.0,66.42,37.35,41.25,3.96,9.85,18248300,14416500.0,2026-04-27,16:14:27
000039,中集集团,11.16,11.11,11.1,11.31,11.01,334666.0,373550000.0,601.81,256.84,272.53,1.3,1.45,14647900,18818800.0,2026-04-27,16:14:21
000040,*ST旭蓝,0.49,0.49,0.0,0.0,0.0,0.0,0.0,7.29,5.17,-2.06,0.07,0.0,0,0.0,2026-04-27,09:00:00
000042,中洲控股,8.88,8.92,8.91,8.94,8.81,30084.0,26690000.0,59.04,58.97,-6.54,2.53,0.45,1381800,1607100.0,2026-04-27,16:14:30
000045,深纺织Ａ,11.89,11.88,11.85,11.94,11.66,63825.0,75480000.0,60.23,54.34,88.03,2.02,1.4,3251400,3131100.0,2026-04-27,16:14:24
000048,京基智农,13.94,14.24,14.08,14.18,13.78,121749.0,169150000.0,73.92,73.85,48.38,1.81,2.3,6196900,5864700.0,2026-04-27,16:14:33
000049,德赛电池,28.64,28.92,28.87,29.28,28.4,158761.0,454910000.0,110.16,110.13,34.05,1.62,4.13,6703500,9172600.0,2026-04-27,16:14:36
000050,深天马Ａ,8.36,8.18,8.15,8.39,8.13,176920.0,146900000.0,205.47,205.47,122.76,0.75,0.72,10201000,7491100.0,2026-04-27,16:14:39
000055,方大集团,3.5,3.44,3.45,3.52,3.35,122137.0,42030000.0,37.59,23.65,-7.22,0.67,1.81,5689600,6502100.0,2026-04-27,16:14:18
000056,*ST皇庭,2.03,1.93,1.83,2.03,1.83,1640874.0,309290000.0,24.01,18.35,-0.88,-1.01,18.16,102017100,62070400.0,2026-04-27,16:14:27
000058,深 赛 格,8.07,8.01,7.99,8.09,7.89,61970.0,49550000.0,99.36,79.47,143.18,4.93,0.63,3254100,2942900.0,2026-04-27,16:14:42
000059,华锦股份,5.49,5.44,5.46,5.5,5.37,263817.0,144020000.0,87.81,87.81,-6.38,0.9,1.65,13436700,12945000.0,2026-04-27,16:14:30
