股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,10.86,10.99,10.96,10.97,10.82,856382.0,931700000.0,2107.48,2107.45,4.89,0.45,0.44,32051400,53586800.0,2026-05-18,16:14:06
000002,万  科Ａ,3.68,3.78,3.78,3.79,3.66,1523378.0,563490000.0,439.05,357.58,-0.5,0.4,1.57,60766600,91571200.0,2026-05-18,16:14:09
000004,*ST国华,2.76,2.76,0.0,0.0,0.0,0.0,0.0,3.65,3.49,30.99,4.21,0.0,0,0.0,2026-05-18,16:14:06
000006,深振业Ａ,10.69,9.72,9.79,10.69,9.79,344268.0,358790000.0,144.31,144.31,-1641.05,2.69,2.55,17195000,17231800.0,2026-05-18,16:14:06
000007,全新好,12.24,12.69,12.64,12.75,12.19,136662.0,169880000.0,42.41,42.41,-2103.6,23.68,3.94,6489400,7176800.0,2026-05-18,16:14:09
000008,神州高铁,2.68,2.69,2.7,2.7,2.65,408797.0,109000000.0,72.8,72.8,-8.85,3.37,1.5,19267900,21611800.0,2026-05-18,16:14:12
000009,中国宝安,7.84,7.92,7.89,7.91,7.78,218942.0,171450000.0,202.21,201.96,389.42,2.02,0.85,10570200,11324000.0,2026-05-18,16:14:06
000010,*ST美丽,2.67,2.7,2.68,2.76,2.6,403713.0,107450000.0,30.7,23.18,-1807.87,10.43,4.65,17193300,23178100.0,2026-05-18,16:14:15
000011,深物业A,7.82,7.6,7.59,7.84,7.55,57440.0,44440000.0,46.61,41.17,2834.63,1.38,1.09,3292700,2451300.0,2026-05-18,16:14:06
000012,南  玻Ａ,3.71,3.73,3.72,3.72,3.66,182508.0,67360000.0,112.88,72.69,1011.85,0.87,0.93,8565800,9685000.0,2026-05-18,16:14:09
000014,沙河股份,12.14,12.11,12.17,12.24,12.05,52573.0,63760000.0,29.38,29.38,-19.29,2.13,2.17,2300100,2957200.0,2026-05-18,16:14:12
000016,*ST康佳A,3.05,3.19,3.16,3.17,3.03,382261.0,117530000.0,73.44,48.7,-0.57,-0.65,2.39,11967300,26258900.0,2026-05-18,16:14:12
000017,深中华A,5.88,5.91,5.91,5.92,5.78,77263.0,45110000.0,40.52,25.92,98.03,10.38,1.75,4119500,3606800.0,2026-05-18,16:14:15
000019,深粮控股,7.05,7.05,7.08,7.1,6.94,112429.0,78940000.0,81.25,29.34,37.47,1.61,2.7,4670200,6572700.0,2026-05-18,16:14:09
