股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,10.49,10.6,10.55,10.59,10.43,747191.0,785390000.0,2035.68,2035.65,4.73,0.45,0.39,34448400,40270700.0,2026-07-09,16:14:33
000002,万  科Ａ,2.98,3.0,2.99,3.03,2.95,875100.0,260830000.0,355.54,289.56,-0.4,0.32,0.9,40343600,47166400.0,2026-07-09,16:14:33
000004,国华退,0.42,0.38,0.39,0.42,0.39,53756.0,2240000.0,0.56,0.53,4.72,0.64,4.26,1450800,3924800.0,2026-07-09,16:14:36
000006,深振业Ａ,6.84,6.78,6.75,6.89,6.64,150705.0,102030000.0,92.34,92.34,-1050.03,1.72,1.12,7957700,7112800.0,2026-07-09,16:14:39
000007,全新好,10.85,11.2,11.1,11.24,10.62,79917.0,87280000.0,37.59,37.59,-1864.71,20.99,2.31,4354700,3637000.0,2026-07-09,16:14:33
000008,神州高铁,2.36,2.36,0.0,0.0,0.0,0.0,0.0,64.11,64.1,-7.79,2.97,0.0,0,0.0,2026-07-09,16:14:33
000009,中国宝安,6.09,6.16,6.15,6.19,6.0,195244.0,118590000.0,157.07,156.88,302.5,1.57,0.76,9295100,10229300.0,2026-07-09,16:14:33
000010,*ST美丽,1.82,1.85,1.83,1.89,1.8,217794.0,40110000.0,20.92,15.89,-1232.33,7.11,2.49,8934300,12845100.0,2026-07-09,16:14:36
000011,深物业A,6.27,6.33,6.31,6.42,6.19,37152.0,23360000.0,37.37,33.01,2272.78,1.11,0.71,1808900,1906300.0,2026-07-09,16:14:36
000012,南  玻Ａ,4.31,4.18,4.19,4.32,4.17,518262.0,219670000.0,131.13,84.45,1175.5,1.01,2.65,29081700,22744400.0,2026-07-09,16:14:36
000014,沙河股份,8.9,8.92,8.88,9.06,8.74,47341.0,41940000.0,21.54,21.54,-14.14,1.56,1.96,2478000,2256100.0,2026-07-09,16:14:42
000016,*ST康佳A,2.47,2.52,2.5,2.56,2.43,225288.0,56060000.0,59.48,39.44,-0.46,-0.53,1.41,9233900,13294900.0,2026-07-09,16:14:39
000017,深中华A,6.55,6.06,6.01,6.67,5.92,398736.0,255410000.0,45.14,28.87,109.2,11.56,9.05,21905000,17968500.0,2026-07-09,16:14:39
000019,深粮控股,5.81,5.91,5.9,5.91,5.74,45109.0,26240000.0,66.96,24.18,30.88,1.36,1.08,1993600,2517300.0,2026-07-09,16:14:36
000020,深华发Ａ,10.59,10.38,10.38,10.62,10.06,35737.0,37080000.0,29.99,19.19,86.37,6.75,1.97,1762100,1811600.0,2026-07-09,16:14:42
000021,深科技,56.24,51.13,52.93,56.24,52.82,1845381.0,10109410000.0,885.43,885.31,73.85,6.8,11.72,109208200,75329900.0,2026-07-09,16:14:45
000025,特  力Ａ,13.18,13.27,13.14,13.33,12.76,53003.0,69000000.0,56.81,51.77,40.03,3.05,1.35,2586600,2713700.0,2026-07-09,16:14:42
000026,飞亚达,18.75,18.8,18.77,19.11,17.89,121683.0,225160000.0,76.08,68.36,71.04,2.27,3.34,5895900,6272400.0,2026-07-09,16:14:45
000027,深圳能源,5.98,6.02,6.02,6.03,5.89,315795.0,187860000.0,284.49,284.49,14.22,0.87,0.66,14263200,17316300.0,2026-07-09,16:14:48
000028,国药一致,20.18,20.68,20.64,20.7,20.13,24104.0,49070000.0,123.55,106.12,11.28,0.67,0.46,1056200,1354200.0,2026-07-09,16:14:51
000029,深深房Ａ,23.92,22.11,22.13,23.97,21.88,84272.0,193590000.0,241.99,213.29,1025.03,6.76,0.95,4779000,3648200.0,2026-07-09,16:14:39
000030,富奥股份,3.94,4.01,4.0,4.01,3.92,94069.0,37150000.0,67.76,65.83,10.2,0.82,0.56,4752600,4654300.0,2026-07-09,16:14:39
000031,大悦城,2.11,2.1,2.08,2.14,2.07,321830.0,67620000.0,90.44,90.44,-3.91,0.88,0.75,15518800,16664200.0,2026-07-09,16:14:54
000032,深桑达Ａ,22.42,21.04,21.5,23.14,21.5,916185.0,2056980000.0,272.44,244.24,-155.31,3.7,8.41,42960100,48658400.0,2026-07-09,16:14:42
000034,神州数码,28.83,28.56,28.0,28.99,27.56,816418.0,2308480000.0,293.13,244.81,54.12,2.62,9.61,39962100,41679700.0,2026-07-09,16:14:42
000035,中国天楹,4.52,4.55,4.55,4.59,4.44,317439.0,143060000.0,107.94,104.55,37.29,1.0,1.37,15398900,16345000.0,2026-07-09,16:14:45
000036,华联控股,4.06,4.08,4.08,4.1,3.9,294601.0,117860000.0,57.0,56.96,63.01,1.11,2.1,15580600,13879500.0,2026-07-09,16:14:48
000037,深南电A,8.2,8.17,8.12,8.2,7.88,130354.0,104910000.0,49.43,27.79,26.66,2.96,3.85,6360500,6674900.0,2026-07-09,16:14:45
000039,中集集团,8.08,7.9,7.86,8.14,7.8,359663.0,287860000.0,435.72,185.95,-382.15,0.93,1.56,19882800,16083500.0,2026-07-09,16:14:48
000040,*ST旭蓝,0.49,0.49,0.0,0.0,0.0,0.0,0.0,7.29,5.17,-2.06,0.07,0.0,0,0.0,2026-07-09,09:00:00
000042,中洲控股,7.69,7.52,7.5,8.0,7.41,83461.0,64360000.0,51.13,51.07,-4.62,2.26,1.26,4703100,3643000.0,2026-07-09,16:14:51
000045,深纺织Ａ,9.58,9.5,9.48,9.6,9.26,51014.0,48230000.0,48.52,43.78,69.56,1.63,1.12,2712200,2389200.0,2026-07-09,16:14:54
000048,京基智农,21.91,21.85,21.53,22.56,21.12,197179.0,432340000.0,116.17,115.97,-61.04,3.09,3.73,10077900,9640000.0,2026-07-09,16:14:51
000049,德赛电池,24.04,23.97,23.76,24.28,23.31,70323.0,166810000.0,92.47,92.44,28.58,1.38,1.83,3384800,3647500.0,2026-07-09,16:14:48
000050,深天马Ａ,8.04,7.86,7.92,8.08,7.77,540953.0,429690000.0,195.84,195.83,-287.03,0.73,2.22,27891900,26203400.0,2026-07-09,16:14:57
000055,方大集团,3.17,3.23,3.24,3.25,3.13,120380.0,38150000.0,34.04,21.42,-6.54,0.61,1.78,5882600,6155400.0,2026-07-09,16:14:45
000056,*ST皇庭,2.21,2.19,2.21,2.28,2.19,260055.0,58050000.0,26.13,19.97,-0.98,-1.09,2.88,11921200,14084300.0,2026-07-09,16:15:00
000058,深 赛 格,5.99,6.03,6.01,6.06,5.88,59040.0,35200000.0,73.75,58.99,105.49,3.67,0.6,3025800,2878200.0,2026-07-09,16:14:51
000059,华锦股份,4.02,4.05,4.04,4.14,3.97,264253.0,106720000.0,64.3,64.3,-4.67,0.66,1.65,12524700,13900600.0,2026-07-09,16:14:48
000060,中金岭南,6.49,6.54,6.54,6.59,6.19,1748243.0,1116150000.0,288.23,288.23,27.92,1.46,3.94,83893400,90931000.0,2026-07-09,16:14:03
000061,农 产 品,5.54,5.55,5.54,5.65,5.45,156677.0,87060000.0,109.97,99.4,25.41,1.29,0.87,8116400,7551300.0,2026-07-09,16:14:06
000062,深圳华强,32.14,33.86,33.02,33.25,30.47,827539.0,2623260000.0,336.16,335.83,60.22,4.97,7.92,37704900,45049000.0,2026-07-09,16:14:54
000063,中兴通讯,40.33,36.87,37.1,40.5,36.98,5359353.0,20983640000.0,1929.2,1624.34,43.11,2.52,13.31,352445100,183490200.0,2026-07-09,16:14:09
000065,北方国际,8.88,8.96,8.9,8.99,8.68,162475.0,143300000.0,103.14,86.58,15.7,0.93,1.67,8441900,7805600.0,2026-07-09,16:14:54
000066,中国长城,19.88,19.31,19.0,20.0,18.18,3629747.0,7030170000.0,641.29,641.24,3178.81,5.87,11.25,187091000,175883700.0,2026-07-09,16:14:12
000068,华控赛格,2.68,2.74,2.73,2.75,2.63,141910.0,38050000.0,26.98,26.98,-25.62,4.61,1.41,6061200,8129800.0,2026-07-09,16:14:51
000069,华侨城Ａ,1.62,1.64,1.62,1.65,1.6,427956.0,69410000.0,130.21,111.76,-0.9,0.38,0.62,19172900,23622700.0,2026-07-09,16:14:54
000070,特发信息,18.18,17.42,18.7,18.86,17.5,1274132.0,2297100000.0,157.87,155.75,-32.21,19.57,14.87,58794200,68619000.0,2026-07-09,16:14:57
