股票代码,股票名称,当前价,昨收价,开盘价,最高价,最低价,成交量,成交额,总市值,流通市值,市盈率,市净率,换手率,买盘总量,卖盘总量,交易日期,更新时间
000001,平安银行,10.7,10.77,10.78,10.8,10.69,1110211.0,1194140000.0,2076.43,2076.4,4.82,0.45,0.57,42007500,69013600.0,2026-05-21,16:14:06
000002,万  科Ａ,3.47,3.6,3.61,3.62,3.47,1317371.0,467980000.0,414.0,337.18,-0.47,0.37,1.36,44183600,87553500.0,2026-05-21,16:14:06
000004,*ST国华,2.76,2.76,0.0,0.0,0.0,0.0,0.0,3.65,3.49,30.99,4.21,0.0,0,0.0,2026-05-21,16:14:06
000006,深振业Ａ,10.46,10.86,10.86,11.18,10.45,564051.0,611760000.0,141.21,141.21,-1605.74,2.63,4.18,26338700,30066400.0,2026-05-21,16:14:09
000007,全新好,11.62,12.49,12.5,12.72,11.58,130774.0,157780000.0,40.26,40.26,-1997.05,22.48,3.77,5193500,7883900.0,2026-05-21,16:14:09
000008,神州高铁,2.61,2.67,2.66,2.67,2.58,485003.0,127610000.0,70.9,70.9,-8.61,3.28,1.79,12588500,35911800.0,2026-05-21,16:14:06
000009,中国宝安,7.75,7.88,7.89,8.03,7.72,247074.0,195370000.0,199.89,199.64,384.95,1.99,0.96,11085300,13622100.0,2026-05-21,16:14:09
000010,*ST美丽,2.35,2.47,2.45,2.47,2.35,256091.0,60800000.0,27.02,20.4,-1591.19,9.18,2.95,11492700,14116400.0,2026-05-21,16:14:06
000011,深物业A,7.46,7.7,7.69,7.78,7.42,41180.0,31300000.0,44.46,39.28,2704.13,1.32,0.78,1383000,2735000.0,2026-05-21,16:14:12
000012,南  玻Ａ,4.0,3.64,3.69,4.0,3.69,581068.0,227130000.0,121.7,78.37,1090.95,0.93,2.97,29084500,29022400.0,2026-05-21,16:14:12
000014,沙河股份,11.19,11.71,11.75,11.81,11.16,64091.0,73830000.0,27.08,27.08,-17.78,1.96,2.65,2679800,3729300.0,2026-05-21,16:14:15
000016,*ST康佳A,3.26,3.23,3.24,3.38,3.23,396754.0,131020000.0,78.5,52.05,-0.61,-0.7,2.49,19516600,20158800.0,2026-05-21,16:14:15
000017,深中华A,5.6,5.77,5.81,5.86,5.58,68503.0,39270000.0,38.59,24.69,93.36,9.89,1.55,3218700,3631600.0,2026-05-21,16:14:12
000019,深粮控股,6.75,6.97,6.97,7.06,6.73,127390.0,88090000.0,77.8,28.09,35.88,1.54,3.06,4826300,7912700.0,2026-05-21,16:14:15
000020,深华发Ａ,12.8,13.25,13.44,14.42,12.79,92891.0,124890000.0,36.24,23.19,104.39,8.16,5.13,4054600,5234500.0,2026-05-21,16:14:09
000021,深科技,36.37,37.85,38.44,39.29,36.08,2510973.0,9493370000.0,572.56,572.48,47.76,4.29,15.95,120933400,130163800.0,2026-05-21,16:14:18
000025,特  力Ａ,14.62,15.02,15.05,15.22,14.61,46050.0,68820000.0,63.02,57.42,44.41,3.39,1.17,1710500,2894500.0,2026-05-21,16:14:12
000026,飞亚达,23.23,21.8,22.0,23.98,21.8,408010.0,955740000.0,94.26,84.69,88.02,2.77,11.19,20362700,20438300.0,2026-05-21,16:14:18
000027,深圳能源,7.25,7.39,7.3,7.5,7.24,573613.0,422860000.0,344.91,344.91,17.24,1.03,1.21,26038800,31322500.0,2026-05-21,16:14:21
000028,国药一致,23.9,24.0,23.95,24.15,23.89,19139.0,45970000.0,133.02,114.25,12.14,0.7,0.4,883900,1030000.0,2026-05-21,16:14:15
000029,深深房Ａ,24.67,26.48,25.93,26.68,24.43,229903.0,583740000.0,249.58,219.97,1057.17,6.91,2.58,11470800,11519500.0,2026-05-21,16:14:09
000030,富奥股份,4.69,4.74,4.75,4.81,4.67,162149.0,77200000.0,80.66,78.37,12.15,0.95,0.97,7689800,8525200.0,2026-05-21,16:14:21
000031,大悦城,2.64,2.75,2.75,2.78,2.61,443625.0,118960000.0,113.16,113.16,-4.89,1.11,1.03,14872000,29490600.0,2026-05-21,16:14:12
000032,深桑达Ａ,19.13,20.0,20.18,20.44,19.04,409826.0,812900000.0,232.46,208.4,-132.52,3.15,3.76,20429200,20553300.0,2026-05-21,16:14:18
000034,神州数码,28.01,30.19,30.46,30.53,27.97,668525.0,1951020000.0,284.79,237.85,52.58,2.55,7.87,27420200,39432300.0,2026-05-21,16:14:15
000035,中国天楹,6.03,6.12,6.1,6.31,6.01,466715.0,288210000.0,144.0,139.48,49.75,1.34,2.02,22653800,24017700.0,2026-05-21,16:14:18
000036,华联控股,5.4,5.68,5.69,5.77,5.4,346736.0,193000000.0,75.81,75.76,83.81,1.47,2.47,12588500,22085100.0,2026-05-21,16:14:24
000037,深南电A,9.61,9.87,9.82,10.03,9.59,212379.0,209220000.0,57.93,32.57,31.25,3.43,6.27,9664100,11573800.0,2026-05-21,16:14:21
000039,中集集团,10.19,11.32,10.89,11.1,10.19,1618099.0,1676090000.0,549.5,234.51,-481.94,1.18,7.03,81761200,80048600.0,2026-05-21,16:14:27
000040,*ST旭蓝,0.49,0.49,0.0,0.0,0.0,0.0,0.0,7.29,5.17,-2.06,0.07,0.0,0,0.0,2026-05-21,09:00:00
000042,中洲控股,10.02,10.23,10.23,10.44,9.97,73176.0,74750000.0,66.62,66.54,-6.02,2.94,1.1,2774500,4543100.0,2026-05-21,16:14:18
000045,深纺织Ａ,11.81,12.2,12.51,12.8,11.81,127591.0,157320000.0,59.82,53.97,85.75,1.99,2.79,5427200,7331900.0,2026-05-21,16:14:21
000048,京基智农,13.68,14.25,14.24,14.31,13.59,86034.0,120060000.0,72.54,72.48,-38.12,1.93,1.62,3842200,4761200.0,2026-05-21,16:14:21
000049,德赛电池,26.42,27.06,27.06,27.64,26.31,125897.0,340750000.0,101.62,101.59,31.41,1.49,3.27,5816400,6773300.0,2026-05-21,16:14:24
000050,深天马Ａ,7.6,7.35,7.81,8.09,7.56,961542.0,760050000.0,186.79,186.79,-273.77,0.69,3.91,41857800,54296400.0,2026-05-21,16:14:30
000055,方大集团,3.51,3.63,3.66,3.7,3.48,113971.0,40990000.0,37.69,23.72,-7.24,0.67,1.69,4784100,6613000.0,2026-05-21,16:14:27
000056,*ST皇庭,1.32,1.39,1.35,1.37,1.32,436364.0,58060000.0,15.61,11.93,-0.58,-0.65,4.83,18392100,25244300.0,2026-05-21,16:14:33
000058,深 赛 格,7.53,7.75,7.75,7.91,7.53,76339.0,59040000.0,92.71,74.15,132.61,4.55,0.78,3702600,3931300.0,2026-05-21,16:14:24
000059,华锦股份,4.75,4.86,4.84,4.86,4.73,249392.0,119760000.0,75.97,75.97,-5.52,0.78,1.56,10770700,14168600.0,2026-05-21,16:14:24
000060,中金岭南,6.88,7.25,7.35,7.5,6.85,2008286.0,1444650000.0,305.55,305.55,29.6,1.53,4.52,78181600,122647000.0,2026-05-21,16:14:27
